GP;RUA;Coluna;base foot_print;TOTAL 1 ALTURA;TOTAL 2 ALTURA;TOTAL 3 ALTURA;TIPO ARMAZEM;ALTURA_MIN;ALTURA_MED;ALTURA_MAX
1;1001;42;84;84;168;252;COBERTO;1;2;3
1;1002;42;84;84;168;252;COBERTO;1;2;3
1;1003;42;84;84;168;252;COBERTO;1;2;3
1;1004;42;84;84;168;252;COBERTO;1;2;3
1;1005;42;84;84;168;252;COBERTO;1;2;3
1;1006;42;84;84;168;252;COBERTO;1;2;3
1;1007;42;84;84;168;252;COBERTO;1;2;3
1;1008;42;84;84;168;252;COBERTO;1;2;3
1;1009;42;84;84;168;252;COBERTO;1;2;3
1;1010;42;84;84;168;252;COBERTO;1;2;3
1;1011;42;84;84;168;252;COBERTO;1;2;3
1;1012;42;84;84;168;252;COBERTO;1;2;3
1;1013;42;84;84;168;252;COBERTO;1;2;3
1;1014;42;84;84;168;252;COBERTO;1;2;3
1;1015;42;84;84;168;252;COBERTO;1;2;3
1;1016;42;84;84;168;252;COBERTO;1;2;3
1;1017;42;84;84;168;252;COBERTO;1;2;3
1;1018;42;84;84;168;252;COBERTO;1;2;3
1;1019;42;84;84;168;252;COBERTO;1;2;3
1;1020;42;84;84;168;252;COBERTO;1;2;3
1;1021;42;84;84;168;252;COBERTO;1;2;3
1;1022;42;84;84;168;252;COBERTO;1;2;3
1;1023;42;84;84;168;252;COBERTO;1;2;3
1;1024;42;84;84;168;252;COBERTO;1;2;3
1;1025;42;84;84;168;252;COBERTO;1;2;3
1;1026;35;70;70;140;210;COBERTO;1;2;3
1;1027;35;70;70;140;210;COBERTO;1;2;3
1;1028;35;70;70;140;210;COBERTO;1;2;3
1;1029;35;70;70;140;210;COBERTO;1;2;3
1;1030;35;70;70;140;210;COBERTO;1;2;3
1;1031;35;70;70;140;210;COBERTO;1;2;3
1;1032;35;70;70;140;210;COBERTO;1;2;3
1;1033;35;70;70;140;210;COBERTO;1;2;3
1;1034;35;70;70;140;210;COBERTO;1;2;3
1;1035;35;70;70;140;210;COBERTO;1;2;3
1;1036;35;70;70;140;210;COBERTO;1;2;3
1;1037;35;70;70;140;210;COBERTO;1;2;3
1;1038;24;48;48;96;144;COBERTO;1;2;3
1;1039;14;28;28;56;84;COBERTO;1;2;3
1;1040;14;28;28;56;84;COBERTO;1;2;3
1;1041;14;28;28;56;84;COBERTO;1;2;3
1;1042;14;28;28;56;84;COBERTO;1;2;3
1;1043;14;28;28;56;84;COBERTO;1;2;3
1;1044;14;28;28;56;84;COBERTO;1;2;3
1;1045;14;28;28;56;84;COBERTO;1;2;3
1;1046;14;28;28;56;84;COBERTO;1;2;3
1;1047;14;28;28;56;84;COBERTO;1;2;3
1;1048;14;28;28;56;84;COBERTO;1;2;3
1;1049;14;28;28;56;84;COBERTO;1;2;3
1;1050;14;28;28;56;84;COBERTO;1;2;3
1;1051;14;28;28;56;84;COBERTO;1;2;3
1;1052;14;28;28;56;84;COBERTO;1;2;3
1;1053;14;28;28;56;84;COBERTO;1;2;3
1;1054;14;28;28;56;84;COBERTO;1;2;3
1;1055;14;28;28;56;84;COBERTO;1;2;3
1;1056;14;28;28;56;84;COBERTO;1;2;3
1;1057;14;28;28;56;84;COBERTO;1;2;3
1;1058;37;74;74;148;222;COBERTO;1;2;3
1;1059;37;74;74;148;222;COBERTO;1;2;3
1;1060;37;74;74;148;222;COBERTO;1;2;3
